dir_name,repository_name,file_name,search_string,taxon_key_id,taxon,scientific_name,species,kingdom,latitude,longitude,coordinate_precision_accuracy,observation_date,location_name,country,region,continent
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1938-12-11,"Uganda, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1967-11-12,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,6.98333,35.35,,2000-01-21,"Ethiopia, Africa",Ethiopia,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5573961,,Acanthus eminens C.B.Clarke,Acanthus eminens,Plantae,,,,1979-05-07,"Kenya, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,3173198,,Acanthus L.,,Plantae,0.37,35.28,,1987-01-26,"Kenya, Africa",Kenya,Eastern Africa,Africa
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,8116963,,Acanthus hungaricus (Borbás) Baen.,Acanthus hungaricus,Plantae,55.657189,11.428599,,2022-07-05,"Denmark, Europe",Denmark,Northern Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-07-11T11:05/2022-07-11T11:10,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-07-18T10:28/2022-07-18T11:25,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,56.18698,14.34294,,2023-07-03,"Sweden, Europe",Sweden,Northern Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55068,12.91246,,2020-09-23,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,7237638,,"Septoria E.M.Fries, 1819",,Fungi,,,,1961-01-01,"Ethiopia, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55079,12.91229,,2020-08-23,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91242,,2020-09-03,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55074,12.91246,,2020-08-01,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,7237638,,"Septoria E.M.Fries, 1819",,Fungi,,,,1961-01-01,"Ethiopia, Africa",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55073,12.91241,,2020-09-12,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55081,12.91272,,2022-06-16T13:00/2022-06-16T13:25,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-06-30T14:55/2022-06-30T15:05,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,3173198,,Acanthus L.,,Plantae,57.06462,15.5827,,1988-01-01/1988-12-31,"Sweden, Europe",Sweden,Northern Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,58.39744,15.49513,,2023-08-11,"Sweden, Europe",Sweden,Northern Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-08-02T15:00/2022-08-02T15:55,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55072,12.91264,,2022-07-22T13:20/2022-07-22T13:35,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55074,12.91246,,2020-08-07,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55074,12.91249,,2020-08-01T11:45/2020-08-01T12:30,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55073,12.91247,,2020-08-02,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,3021135,,Prunus ×eminens Beck,Prunus eminens,Plantae,47.834824,16.796036,,2012-08-19,"Austria, Europe",Austria,Western Europe,Europe
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55075,12.91264,,2022-05-28,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.5507,12.91237,,2020-07-31,"Sweden, Europe",,,
Preferred_nectar,gbif,Acanthaceae,Acanthus eminens,5415455,,Acanthus mollis L.,Acanthus mollis,Plantae,55.55073,12.9124,,2020-09-18T16:02/2020-09-18T16:12,"Sweden, Europe",,,
